id,path,en_name,en_description
1_11270,mineral_images\corundum\eaffcaf6-3712-4f2d-9289-5bcb05541a33_IMG_3170.JPG,corundum,
1_27165,mineral_images\magnetite\7fbe3f10-58be-49f4-920d-0f26df112531_1_27165.jpg,magnetite,
1_19495,mineral_images\topaz\23e2fc56-764a-4b3a-950a-3c3fb623d12d_1_19495.jpg,topaz,
1_88062,mineral_images\agate\f956f45a-52cc-4169-a099-9a6ba74002b4_FMM_1_88062.JPG,agate,
1_38653,mineral_images\quartz\de82459d-e8da-4e91-8ff9-301d61480abb_1_38653.jpg,quartz,
1_12675,mineral_images\chalcedony\c15dc048-92e5-4441-81d3-4caaea92e5cb_1_12675.jpg,chalcedony,
1_51206,mineral_images\topaz\9db82fdd-1ba5-47f6-89f0-c6f116d28e9a_1_51206.jpg,topaz,
1_57489,mineral_images\quartz\d3b3d9d4-2239-4bb5-a9e8-1e2a0fa6b294_1_57489.jpg,quartz,
1_39642,mineral_images\quartz\03229aba-2665-494f-98f4-31fb469ec44b_1_39642.jpg,quartz,
1_54550,mineral_images\topaz\8e8f3fd0-f5d4-4da2-9260-5907f136da52_1_54550.jpg,topaz,
1_40080,mineral_images\hematite\3acc3e87-333a-4fa1-b8be-c81b8508449c_IMG_2808.jpg,hematite,
1_3964,mineral_images\cassiterite\a92c8f28-a54d-4b15-94b6-a4620396761a_1_3964.jpg,cassiterite,
1_54845,mineral_images\beryl\c2d3572c-d1cc-4361-88d5-c4c9c2eab163_1_54845.JPG,beryl,
1_4265,mineral_images\hematite\672bf683-3078-4322-9e54-a7ac219281d7_IMG_1413.JPG,hematite,
1_15195,mineral_images\quartz\d92269fd-4d1d-4f47-9c92-abce522ea51e_1_15195.jpg,quartz,
1_2849,mineral_images\quartz\29095644-3505-4599-8a49-e759fd0d1daf_1_2849.jpg,quartz,
1_19257,mineral_images\corundum\4950f98f-0934-473e-8a1d-c1b7615629e0_IMG_3181.JPG,corundum,
1_34730,mineral_images\quartz\041d9cd7-5a48-4bdc-a5b5-1d4844bed092_1_34730.jpg,quartz,
5_4806,mineral_images\chalcedony\27a28418-d0fb-4730-afbf-b52525d38657_5_4806.jpg,chalcedony,"polished samples

l 4.4; 4.8"
1_23954,mineral_images\beryl\dd7d1ac6-72cd-461e-9e52-5ca1907b686c_1_23954.jpg,beryl,
1_14147,mineral_images\quartz\72081af2-0785-407f-a97d-0aa58d6e1221_1_14147.jpg,quartz,
1_53321,mineral_images\cassiterite\d547872d-7bf7-4243-bb7f-9c34657f9f0e_DSCN6191.JPG,cassiterite,
1_22194,mineral_images\quartz\8a1af62f-bd26-427a-9310-5e31ddf19c22_1_22194.jpg,quartz,
1_4151,mineral_images\hematite\ca495ab7-ce75-44e3-a900-9c470bf8a86d_IMG_9303.jpg,hematite,
3_1348,mineral_images\calcite\00929af4-6cb8-40f0-8723-e8c41811f37b_3_1348w.jpg,calcite,pseudomorphosis of transformation. 5x4.5 cm.
1_86610,mineral_images\calcite\70f87313-9c54-4e04-9a3b-a69dd142a024_FMM_1_86610.JPG,calcite,a pseudooctahedron is a combination of several rhombohedra on a brush of split xls clinochlore on magnetite.
1_43602,mineral_images\corundum\b6215918-ad15-4f83-b497-fc019d85b3ab_6_1_2_43602.jpg,corundum,
1_7212,mineral_images\quartz\4560e5ee-e57c-45df-8b9c-e6d0dc2d491e_1_7212.jpg,quartz,
3_2896,mineral_images\calcite\47c144c0-916b-4622-8129-178878b1c167_3_2896_calcite_mmm_2.jpg,calcite,"intergrowth of helictites in the form of a ""flower on a stem"""
1_45974,mineral_images\cassiterite\3d29ec80-36bd-44a0-bef4-f7a4fc16f869_1_45974.jpg,cassiterite,
1_19285,mineral_images\corundum\9f95d998-924b-4bac-86c7-8e586371165c_IMG_3188.JPG,corundum,
1_29673,mineral_images\hematite\07ef96ee-9bf4-410e-9664-e42c9ed1f1a2_IMG_3425.jpg,hematite,
1_19791,mineral_images\chalcedony\a65125f3-539d-4fe6-bbfb-5f2f74bf02d5_19791.jpg,chalcedony,
1_62376,mineral_images\magnetite\272107aa-068a-4219-ab25-be27fbe2daa7_1_62376.jpg,magnetite,
1_34559,mineral_images\topaz\0aec74cc-43ba-483c-9ec2-28cd6d0cd59f_1_34559.jpg,topaz,
1_87966,mineral_images\agate\9a20df3d-1f3c-46b2-b0e7-7cd2e8d352a0_FMM_1_87966.JPG,agate,
1_33366,mineral_images\quartz\402a512d-4bde-4179-8153-943e878227ea_1_33366.jpg,quartz,
4_3524,mineral_images\quartz\5ad733ce-ea0f-4d5b-85c8-40c40c64adff_4_3524.jpg,quartz,quartz with pyrite inclusions
1_2783,mineral_images\quartz\145e6290-e95a-4525-b9a9-d5a5d52ec35d_1_2783.jpg,quartz,
1_22190,mineral_images\quartz\24a839f9-b5e0-454a-98a3-6e0f97749edf_1_22190.jpg,quartz,small crystals.
1_79565,mineral_images\agate\3ddc31f7-ff68-4332-9439-97333726314f_1_79565.jpg,agate,
1_17305,mineral_images\hematite\01934bd1-980a-4a17-953d-78b1eb9bbecd_IMG_4731.jpg,hematite,crystal.
1_51205,mineral_images\topaz\23ecba7a-e340-4ca4-8552-18f7f200f250_1_51205.jpg,topaz,
1_48433,mineral_images\hematite\f0e41f38-b53e-442a-85ce-a8ed54a3b97b_IMG_9773.jpg,hematite,
1_36192,mineral_images\topaz\4d8d2338-caf4-4d7b-b004-f8ba1d0813fd_1_36192.jpg,topaz,
1_23545,mineral_images\quartz\6038828f-afc7-4063-a053-9d2edeebeeb8_1_23545.jpg,quartz,
1_3432,mineral_images\chalcedony\07140322-4dee-49b0-bb8d-e94dd6282805_1_3432.jpg,chalcedony,
1_72637,mineral_images\cassiterite\b6491962-6a5d-4fe9-9d67-61659540cdde_1_72637.jpg,cassiterite,
1_37962,mineral_images\cassiterite\9d17ef54-0757-4517-a40d-16f168f361bd_DSCN5989.JPG,cassiterite,
1_28985,mineral_images\quartz\d9bccbf6-16fe-406b-b709-3c5cdcec872b_1_28985.jpg,quartz,
1_32797,mineral_images\magnetite\c1666645-8abf-4a2f-9188-f5c0e68fb1b8_1_32797.jpg,magnetite,
1_7228,mineral_images\chalcedony\7ca7b7b3-24f9-4e5d-99a3-58fa07f13729_7228.jpg,chalcedony,
1_9017,mineral_images\beryl\2ec37c2e-2db5-47ae-97bb-525c899d99e7_1_9017.JPG,beryl,
1_73163,mineral_images\quartz\b94c364d-73cf-490a-be3a-153600eae804_IMG_5911.jpg,quartz,
1_50698,mineral_images\cassiterite\5387f878-a891-4991-a136-6151b42e1e99_1_50698.jpg,cassiterite,
1_3376,mineral_images\chalcedony\61d1e84c-0451-42bf-b30e-8afb92cd2647_3376.jpg,chalcedony,
1_16872,mineral_images\cassiterite\1d06316b-54b3-4123-93e2-ba5238e9cf0d_1_16872.jpg,cassiterite,
1_40252,mineral_images\quartz\a7360b3a-645d-446a-ab3f-2a4f1d4f6d93_1_40252.jpg,quartz,
1_38667,mineral_images\quartz\6e005fa7-6eac-4d26-a056-74467feca41a_1_38667.jpg,quartz,
1_84476,mineral_images\agate\f4472a51-8112-465a-b3b1-2f1e8f845102_84476.jpg,agate,"chalcedony-quartz-carnelian. with a cavity in the center; feed channels.

13x5.5 cm."
1_32693,mineral_images\topaz\77e30acb-f9ab-4db9-884f-bc7fb1cff188_1_32693.jpg,topaz,
1_39657,mineral_images\magnetite\db832086-6952-4173-ba1d-06882789aed4_FMM_1_39657.JPG,magnetite,
1_22286,mineral_images\quartz\65b04a56-c47e-4271-a221-62f7b706267a_1_22286.jpg,quartz,
2_9287,mineral_images\quartz\8da73cab-e3c7-4b3f-b6f5-85e9c2f4d811_FMM_2_9287.JPG,quartz,
1_42222,mineral_images\quartz\12c0706e-be4c-4090-97f4-90bcf96e1cd2_1_42222.jpg,quartz,quartz right
1_80252,mineral_images\topaz\41baf2f6-23e9-48f8-b357-01fc58ff56a5_1_80252.jpg,topaz,
1_24928,mineral_images\chalcedony\449167db-fdf3-459a-958f-a0398b4f13b0_1_24928.jpg,chalcedony,
1_30403,mineral_images\hematite\0411c97b-f48a-4e54-8729-5c2d9939bba8_IMG_5005.jpg,hematite,
3_392,mineral_images\quartz\93382113-4e6f-477f-b3e0-01e68a581d01_3_392.jpg,quartz,
1_2705,mineral_images\quartz\ea8544ba-1f20-438d-8a9c-a7c635760c66_IMG_6985.jpg,quartz,
1_63569,mineral_images\calcite\4b877399-eebc-4f44-884e-f11d2bf31cf5_1_63569_NM.jpg,calcite,
1_42235,mineral_images\quartz\2103be53-ee24-42ab-869d-edd5bc69278e_1_42235.jpg,quartz,quartz right dauphine
1_16506,mineral_images\quartz\e8a38e31-79e8-4282-ba06-4b5e85955283_1_16506.jpg,quartz,
1_21669,mineral_images\chalcedony\4474f247-a1ba-49ed-ae32-0910d367f5ee_1_21669.jpg,chalcedony,
1_79587,mineral_images\agate\2ef6b7fa-a8e8-41d0-824f-7b52c20a07d5_1_79587.jpg,agate,
1_40897,mineral_images\quartz\dae3257c-d82a-4dce-9f0d-815e12187a57_1_40897.jpg,quartz,
1_44542,mineral_images\quartz\3a5f1c0e-41e6-4e3a-a274-9a6ab47a81ab_1_44542.jpg,quartz,
1_86803,mineral_images\chalcedony\a7e841f0-343a-4155-9fcb-0b45b698a7b2_FMM_1_86803.JPG,chalcedony,agate onyx of two generations (gray - early and white)
1_26196,mineral_images\topaz\8d372c53-1921-4f26-9527-8b214b09a444_1_26196.jpg,topaz,
1_83376,mineral_images\magnetite\9e9ae21d-66f6-46e7-8a96-eea4411736e3_FMM_1_83376.JPG,magnetite,druse from octahedrons
1_21971,mineral_images\magnetite\fe56f81d-3e8c-408b-8c49-d6114a6f0798_IMG_1581.jpg,magnetite,
1_12273,mineral_images\quartz\1c80605c-e418-4249-905c-df7b1dd6a9a4_1_12273.jpg,quartz,
